"provinsi","upah.2015","upah.2016","upah.2017","upah.2018","upah.2019","upah.2020","upah.2021","upah.2022"
"ACEH",11226,13627,14809,13814,15065,18099,17037,16772
"SUMATERA UTARA",10618,11646,13396,13257,14061,15949,15486,15131
"SUMATERA BARAT",11241,13206,14378,14431,15210,17571,16630,15887
"RIAU",13303,15506,15182,15613,16270,18411,19144,18626
"JAMBI",12954,13169,14326,14007,14304,15840,16043,16042
"SUMATERA SELATAN",11622,12523,12690,13214,13580,15072,15873,15978
"BENGKULU",12491,13471,14011,14353,14511,17407,18271,16501
"LAMPUNG",10104,10385,11234,11779,12575,14912,15224,13218
"KEP. BANGKA BELITUNG",12660,14257,14822,15818,17373,15763,17692,18132
"KEP. RIAU",18863,21019,19832,23212,22912,25032,25736,23528
"DKI JAKARTA",17012,23181,23826,25238,25236,28420,30662,32685
"JAWA BARAT",11247,14791,16202,16843,17365,19078,19716,19038
"JAWA TENGAH",8525,9965,10569,11417,11828,12707,13072,12604
"DI YOGYAKARTA",10440,12070,12281,12554,13275,15771,15098,14916
"JAWA TIMUR",9214,11226,11883,12561,13119,14389,14789,15119
"BANTEN",14228,21033,19719,20565,21003,23035,24839,23880
"BALI",11038,14852,15624,15889,16408,17775,17662,16857
"NUSA TENGGARA BARAT",9187,9940,10962,11359,11954,13627,12992,11734
"NUSA TENGGARA TIMUR",11436,12868,12281,12318,12610,17696,16386,13012
"KALIMANTAN BARAT",12671,13580,14734,14614,15309,16098,16127,16337
"KALIMANTAN TENGAH",14218,16515,16737,17489,18090,20677,21040,19795
"KALIMANTAN SELATAN",13559,14007,15507,15735,16517,18863,18874,18661
"KALIMANTAN TIMUR",16323,18514,21864,21303,21691,24097,23943,22281
"KALIMANTAN UTARA",16608,17547,20392,18931,20639,26002,22972,20320
"SULAWESI UTARA",12761,16046,17112,16954,18350,21390,20963,18335
"SULAWESI TENGAH",12365,13238,13770,13462,14682,18140,20637,15890
"SULAWESI SELATAN",12560,14827,15841,15777,17105,19172,19217,17257
"SULAWESI TENGGARA",13661,23444,16604,15944,15849,20449,19302,17542
"GORONTALO",10030,13088,12784,11891,13492,15128,14613,14289
"SULAWESI BARAT",14171,11730,12741,12144,13126,18136,18072,14774
"MALUKU",14525,16153,16275,14923,17306,26198,21156,17006
"MALUKU UTARA",13607,15226,15760,15864,17425,23338,21131,18278
"PAPUA BARAT",17313,18314,19911,21727,22987,27904,29600,24128
"PAPUA",19290,22961,25657,25987,24984,32138,30382,24097
"INDONESIA",11434,14068,14731,15275,15823,17696,18089,17542
